vertices	color
mmu-let-7f-5p	blue
mmu-let-7g-5p	blue
mmu-let-7k	blue
mmu-miR-103-3p	blue
mmu-miR-105	blue
mmu-miR-106a-3p	blue
mmu-miR-106b-3p	blue
mmu-miR-106b-5p	blue
mmu-miR-107-3p	blue
mmu-miR-1187	blue
mmu-miR-1188-3p	blue
mmu-miR-1188-5p	blue
mmu-miR-1190	blue
mmu-miR-1191b-3p	blue
mmu-miR-1194	blue
mmu-miR-1195	blue
mmu-miR-12179-5p	blue
mmu-miR-12181-3p	blue
mmu-miR-12185-3p	blue
mmu-miR-12185-5p	blue
mmu-miR-12187-5p	blue
mmu-miR-12188-3p	blue
mmu-miR-12190-3p	blue
mmu-miR-12191-3p	blue
mmu-miR-12198-3p	blue
mmu-miR-12201-3p	blue
mmu-miR-1224-3p	blue
mmu-miR-1224-5p	blue
mmu-miR-1231-3p	blue
mmu-miR-1231-5p	blue
mmu-miR-1247-3p	blue
mmu-miR-1249-3p	blue
mmu-miR-1249-5p	blue
mmu-miR-125a-3p	blue
mmu-miR-125a-5p	blue
mmu-miR-125b-5p	blue
mmu-miR-128-2-5p	blue
mmu-miR-135a-1-3p	blue
mmu-miR-137-5p	blue
mmu-miR-139-3p	blue
mmu-miR-140-3p	blue
mmu-miR-143-5p	blue
mmu-miR-146b-3p	blue
mmu-miR-149-3p	blue
mmu-miR-149-5p	blue
mmu-miR-150-3p	blue
mmu-miR-150-5p	blue
mmu-miR-15b-5p	blue
mmu-miR-1668	blue
mmu-miR-181a-2-3p	blue
mmu-miR-181c-3p	blue
mmu-miR-182-3p	blue
mmu-miR-1843a-5p	blue
mmu-miR-185-3p	blue
mmu-miR-187-3p	blue
mmu-miR-188-3p	blue
mmu-miR-1892	blue
mmu-miR-1894-3p	blue
mmu-miR-1894-5p	blue
mmu-miR-18a-3p	blue
mmu-miR-18b-3p	blue
mmu-miR-1901	blue
mmu-miR-1902	blue
mmu-miR-1903	blue
mmu-miR-1904	blue
mmu-miR-1906	blue
mmu-miR-1907	blue
mmu-miR-1911-3p	blue
mmu-miR-1911-5p	blue
mmu-miR-1927	blue
mmu-miR-1930-3p	blue
mmu-miR-1931	blue
mmu-miR-1932	blue
mmu-miR-1933-3p	blue
mmu-miR-1934-3p	blue
mmu-miR-1934-5p	blue
mmu-miR-1938	blue
mmu-miR-193a-5p	blue
mmu-miR-1941-5p	blue
mmu-miR-1943-3p	blue
mmu-miR-1943-5p	blue
mmu-miR-1946a	blue
mmu-miR-1946b	blue
mmu-miR-1947-3p	blue
mmu-miR-1951	blue
mmu-miR-1954	blue
mmu-miR-1955-5p	blue
mmu-miR-1956	blue
mmu-miR-1962	blue
mmu-miR-1963	blue
mmu-miR-1966-5p	blue
mmu-miR-1967	blue
mmu-miR-1968-3p	blue
mmu-miR-196b-3p	blue
mmu-miR-1982-3p	blue
