from	to	color	mirbase
mmu-miR-193a-5p	chr5:128748861-128749747:-	red	mmu_circ_0001412
mmu-miR-1946a	chr5:128748861-128749747:-	red	mmu_circ_0001412
mmu-miR-1963	chr5:128748861-128749747:-	red	mmu_circ_0001412
mmu-miR-210-3p	chr5:128748861-128749747:-	red	mmu_circ_0001412
mmu-miR-3474	chr5:128748861-128749747:-	red	mmu_circ_0001412
mmu-miR-6418-5p	chr5:128748861-128749747:-	red	mmu_circ_0001412
mmu-miR-6912-3p	chr5:128748861-128749747:-	red	mmu_circ_0001412
mmu-miR-6913-5p	chr5:128748861-128749747:-	red	mmu_circ_0001412
mmu-miR-691	chr5:128748861-128749747:-	red	mmu_circ_0001412
mmu-miR-6925-5p	chr5:128748861-128749747:-	red	mmu_circ_0001412
mmu-miR-6939-5p	chr5:128748861-128749747:-	red	mmu_circ_0001412
mmu-miR-6945-5p	chr5:128748861-128749747:-	red	mmu_circ_0001412
mmu-miR-6972-5p	chr5:128748861-128749747:-	red	mmu_circ_0001412
mmu-miR-6988-5p	chr5:128748861-128749747:-	red	mmu_circ_0001412
mmu-miR-7011-5p	chr5:128748861-128749747:-	red	mmu_circ_0001412
mmu-miR-7033-5p	chr5:128748861-128749747:-	red	mmu_circ_0001412
mmu-miR-7039-5p	chr5:128748861-128749747:-	red	mmu_circ_0001412
mmu-miR-7049-5p	chr5:128748861-128749747:-	red	mmu_circ_0001412
mmu-miR-7049-5p	chr5:128748861-128749747:-	red	mmu_circ_0001412
mmu-miR-7049-5p	chr5:128748861-128749747:-	red	mmu_circ_0001412
mmu-miR-7058-5p	chr5:128748861-128749747:-	red	mmu_circ_0001412
mmu-miR-7062-5p	chr5:128748861-128749747:-	red	mmu_circ_0001412
mmu-miR-7062-5p	chr5:128748861-128749747:-	red	mmu_circ_0001412
mmu-miR-7062-5p	chr5:128748861-128749747:-	red	mmu_circ_0001412
mmu-miR-7094b-2-5p	chr5:128748861-128749747:-	red	mmu_circ_0001412
mmu-miR-7222-3p	chr5:128748861-128749747:-	red	mmu_circ_0001412
mmu-miR-7655-5p	chr5:128748861-128749747:-	red	mmu_circ_0001412
mmu-miR-7676-3p	chr5:128748861-128749747:-	red	mmu_circ_0001412
mmu-miR-7686-5p	chr5:128748861-128749747:-	red	mmu_circ_0001412
mmu-miR-103-3p	chr11:120673634-120675333:+	red	mmu_circ_0000343
mmu-miR-107-3p	chr11:120673634-120675333:+	red	mmu_circ_0000343
mmu-miR-12185-3p	chr11:120673634-120675333:+	red	mmu_circ_0000343
mmu-miR-12201-3p	chr11:120673634-120675333:+	red	mmu_circ_0000343
mmu-miR-125a-5p	chr11:120673634-120675333:+	red	mmu_circ_0000343
mmu-miR-181a-2-3p	chr11:120673634-120675333:+	red	mmu_circ_0000343
mmu-miR-1906	chr11:120673634-120675333:+	red	mmu_circ_0000343
mmu-miR-1943-3p	chr11:120673634-120675333:+	red	mmu_circ_0000343
mmu-miR-2861	chr11:120673634-120675333:+	red	mmu_circ_0000343
mmu-miR-3065-3p	chr11:120673634-120675333:+	red	mmu_circ_0000343
mmu-miR-3067-5p	chr11:120673634-120675333:+	red	mmu_circ_0000343
mmu-miR-3070-5p	chr11:120673634-120675333:+	red	mmu_circ_0000343
mmu-miR-3074-5p	chr11:120673634-120675333:+	red	mmu_circ_0000343
mmu-miR-3076-3p	chr11:120673634-120675333:+	red	mmu_circ_0000343
mmu-miR-3093-3p	chr11:120673634-120675333:+	red	mmu_circ_0000343
mmu-miR-3097-5p	chr11:120673634-120675333:+	red	mmu_circ_0000343
mmu-miR-3113-3p	chr11:120673634-120675333:+	red	mmu_circ_0000343
mmu-miR-3113-3p	chr11:120673634-120675333:+	red	mmu_circ_0000343
mmu-miR-3113-3p	chr11:120673634-120675333:+	red	mmu_circ_0000343
mmu-miR-342-5p	chr11:120673634-120675333:+	red	mmu_circ_0000343
mmu-miR-351-5p	chr11:120673634-120675333:+	red	mmu_circ_0000343
mmu-miR-361-3p	chr11:120673634-120675333:+	red	mmu_circ_0000343
mmu-miR-3968	chr11:120673634-120675333:+	red	mmu_circ_0000343
mmu-miR-486a-3p	chr11:120673634-120675333:+	red	mmu_circ_0000343
mmu-miR-504-5p	chr11:120673634-120675333:+	red	mmu_circ_0000343
mmu-miR-5100	chr11:120673634-120675333:+	red	mmu_circ_0000343
mmu-miR-5110	chr11:120673634-120675333:+	red	mmu_circ_0000343
mmu-miR-5627-3p	chr11:120673634-120675333:+	red	mmu_circ_0000343
mmu-miR-6769b-5p	chr11:120673634-120675333:+	red	mmu_circ_0000343
mmu-miR-6904-5p	chr11:120673634-120675333:+	red	mmu_circ_0000343
mmu-miR-6914-5p	chr11:120673634-120675333:+	red	mmu_circ_0000343
mmu-miR-6914-5p	chr11:120673634-120675333:+	red	mmu_circ_0000343
mmu-miR-6914-5p	chr11:120673634-120675333:+	red	mmu_circ_0000343
mmu-miR-6914-5p	chr11:120673634-120675333:+	red	mmu_circ_0000343
mmu-miR-6916-5p	chr11:120673634-120675333:+	red	mmu_circ_0000343
mmu-miR-6917-5p	chr11:120673634-120675333:+	red	mmu_circ_0000343
mmu-miR-6919-3p	chr11:120673634-120675333:+	red	mmu_circ_0000343
mmu-miR-6919-3p	chr11:120673634-120675333:+	red	mmu_circ_0000343
mmu-miR-6919-3p	chr11:120673634-120675333:+	red	mmu_circ_0000343
mmu-miR-6922-5p	chr11:120673634-120675333:+	red	mmu_circ_0000343
mmu-miR-6940-5p	chr11:120673634-120675333:+	red	mmu_circ_0000343
mmu-miR-6942-5p	chr11:120673634-120675333:+	red	mmu_circ_0000343
mmu-miR-6954-5p	chr11:120673634-120675333:+	red	mmu_circ_0000343
mmu-miR-6956-3p	chr11:120673634-120675333:+	red	mmu_circ_0000343
mmu-miR-6982-5p	chr11:120673634-120675333:+	red	mmu_circ_0000343
mmu-miR-6992-5p	chr11:120673634-120675333:+	red	mmu_circ_0000343
mmu-miR-7000-5p	chr11:120673634-120675333:+	red	mmu_circ_0000343
mmu-miR-7018-3p	chr11:120673634-120675333:+	red	mmu_circ_0000343
mmu-miR-7023-3p	chr11:120673634-120675333:+	red	mmu_circ_0000343
mmu-miR-7023-5p	chr11:120673634-120675333:+	red	mmu_circ_0000343
mmu-miR-7024-5p	chr11:120673634-120675333:+	red	mmu_circ_0000343
mmu-miR-7024-5p	chr11:120673634-120675333:+	red	mmu_circ_0000343
mmu-miR-7024-5p	chr11:120673634-120675333:+	red	mmu_circ_0000343
mmu-miR-7033-3p	chr11:120673634-120675333:+	red	mmu_circ_0000343
mmu-miR-7036a-3p	chr11:120673634-120675333:+	red	mmu_circ_0000343
mmu-miR-7036a-3p	chr11:120673634-120675333:+	red	mmu_circ_0000343
mmu-miR-7036a-3p	chr11:120673634-120675333:+	red	mmu_circ_0000343
mmu-miR-7044-5p	chr11:120673634-120675333:+	red	mmu_circ_0000343
mmu-miR-7045-3p	chr11:120673634-120675333:+	red	mmu_circ_0000343
mmu-miR-7049-3p	chr11:120673634-120675333:+	red	mmu_circ_0000343
mmu-miR-7054-5p	chr11:120673634-120675333:+	red	mmu_circ_0000343
mmu-miR-7055-5p	chr11:120673634-120675333:+	red	mmu_circ_0000343
mmu-miR-7117-5p	chr11:120673634-120675333:+	red	mmu_circ_0000343
mmu-miR-7119-5p	chr11:120673634-120675333:+	red	mmu_circ_0000343
mmu-miR-7213-5p	chr11:120673634-120675333:+	red	mmu_circ_0000343
mmu-miR-760-5p	chr11:120673634-120675333:+	red	mmu_circ_0000343
mmu-miR-762	chr11:120673634-120675333:+	red	mmu_circ_0000343
mmu-miR-762	chr11:120673634-120675333:+	red	mmu_circ_0000343
mmu-miR-762	chr11:120673634-120675333:+	red	mmu_circ_0000343
mmu-miR-92b-5p	chr11:120673634-120675333:+	red	mmu_circ_0000343
mmu-miR-1188-5p	chr7:103884194-103886071:+	red	mmu_circ_0001594;mmu_circ_0001595
mmu-miR-1943-3p	chr7:103884194-103886071:+	red	mmu_circ_0001594;mmu_circ_0001595
mmu-miR-1956	chr7:103884194-103886071:+	red	mmu_circ_0001594;mmu_circ_0001595
mmu-miR-3073a-5p	chr7:103884194-103886071:+	red	mmu_circ_0001594;mmu_circ_0001595
mmu-miR-3085-5p	chr7:103884194-103886071:+	red	mmu_circ_0001594;mmu_circ_0001595
mmu-miR-3089-3p	chr7:103884194-103886071:+	red	mmu_circ_0001594;mmu_circ_0001595
mmu-miR-3547-5p	chr7:103884194-103886071:+	red	mmu_circ_0001594;mmu_circ_0001595
